289,KONI,Perdana Bangun Pusaka Tbk,22-Agust-1995
290,KOPI,PT Mitra Energi Persada Tbk,04-Mei-2015
291,KPIG,MNC Land Tbk,30-Mar-00
292,KRAH,PT Grand Kartech Tbk,08-Nop-2013
293,KRAS,Krakatau Steel (Persero) Tbk,10-Nop-2010
294,KREN,PT Kresna Graha Investama Tbk.,28-Jun-02
295,LAMI,Lamicitra Nusantara Tbk,18-Jul-01
296,LAPD,Leyand International Tbk,17-Jul-01
297,LCGP,PT Eureka Prima Jakarta Tbk.,13-Jul-07
298,LEAD,PT Logindo Samudramakmur Tbk.,11-Des-2013
299,LINK,PT Link Net Tbk.,2-Jun-14
300,LION,Lion Metal Works Tbk,20-Agust-1993
301,LMAS,Limas Indonesia Makmur Tbk,28-Des-2001
302,LMPI,Langgeng Makmur Industri Tbk,17-Okt-1994
303,LMSH,Lionmesh Prima Tbk,4-Jun-90
304,LPCK,Lippo Cikarang Tbk,24-Jul-97
305,LPGI,Lippo General Insurance Tbk,22-Jul-97
306,LPIN,Multi Prima Sejahtera Tbk,5-Feb-90
307,LPKR,Lippo Karawaci Tbk,28-Jun-96
308,LPLI,Star Pacific Tbk,23-Okt-1989
309,LPPF,Matahari Department Store Tbk,09-Okt-1989
310,LPPS,Lippo Securities Tbk,28-Mar-94
311,LRNA,PT Eka Sari Lorena Transport Tbk.,15-Apr-14
312,LSIP,PP London Sumatra Indonesia Tbk,5-Jul-96
313,LTLS,Lautan Luas Tbk,21-Jul-97
314,MAGP,Multi Agro Gemilang Plantation Tbk,16-Jan-13
315,MAIN,Malindo Feedmill Tbk,10-Feb-06
316,MAMI,Mas Murni Indonesia Tbk,9-Feb-94
317,MAPI,Mitra Adiperkasa Tbk,10-Nop-2004
318,MARI,PT Mahaka Radio Integra Tbk.,11-Feb-16
319,MASA,Multistrada Arah Sarana Tbk,9-Jun-05
320,MAYA,Bank Mayapada Internasional Tbk,29-Agust-1997
321,MBAP,PT Mitrabara Adiperdana Tbk,10-Jul-14
322,MBSS,Mitrabahtera Segara Sejati Tbk,6-Apr-11
323,MBTO,Martina Berto Tbk,13-Jan-11
324,MCOR,PT Bank China Construction Bank Indonesia Tbk,3-Jul-07
325,MDIA,PT Intermedia Capital Tbk.,11-Apr-14
326,MDKA,PT Merdeka Copper Gold Tbk.,19-Jun-15
327,MDLN,Modernland Realty Ltd Tbk,18-Jan-93
328,MDRN,Modern Internasional Tbk,16-Jul-91
329,MEDC,Medco Energi Internasional Tbk,12-Okt-1994
330,MEGA,Bank Mega Tbk,17-Apr-00
331,MERK,Merck Tbk,23-Jul-81
332,META,Nusantara Infrastructure Tbk,18-Jul-01
333,MFIN,Mandala Multifinance Tbk,6-Sep-05
334,MFMI,Multifiling Mitra Indonesia Tbk,29-Des-2010
335,MGNA,PT Magna Finance Tbk.,7-Jul-14
336,MICE,Multi Indocitra Tbk,02-Nop-2005
337,MIDI,Midi Utama Indonesia Tbk,30-Nop-2010
338,MIKA,PT Mitra Keluarga Karyasehat Tbk.,24-Mar-15
339,MIRA,Mitra International Resources Tbk,30-Jan-97
340,MITI,Mitra Investindo Tbk,16-Jul-97
341,MKNT,PT Mitra Komunikasi Nusantara Tbk.,26-Okt-2015
342,MKPI,Metropolitan Kentjana Tbk,10-Jul-09
343,MLBI,Multi Bintang Indonesia Tbk,17-Jan-94
344,MLIA,Mulia Industrindo Tbk,17-Jan-94
